EventName,CircuitLength,designedLaps
Abu Dhabi Grand Prix,5.554,55
Australian Grand Prix,5.303,58
Austrian Grand Prix,4.318,71
Azerbaijan Grand Prix,6.003,51
Bahrain Grand Prix,5.412,57
Belgian Grand Prix,7.004,44
Brazilian Grand Prix,4.309,71
British Grand Prix,5.891,52
Canadian Grand Prix,4.361,70
Chinese Grand Prix,5.451,56
Dutch Grand Prix,4.259,72
French Grand Prix,5.842,53
Hungarian Grand Prix,4.381,70
Italian Grand Prix,5.793,53
Japanese Grand Prix,5.807,53
Mexican Grand Prix,4.304,71
Miami Grand Prix,5.41,57
Monaco Grand Prix,3.337,78
Russian Grand Prix,5.848,53
Saudi Arabia Grand Prix,6.175,50
Singapore Grand Prix,5.063,61
Spanish Grand Prix,4.655,66
United States Grand Prix,5.513,56
Eifel Grand Prix,5.148,60
Emilia Romagna Grand Prix,4.905,63
German Grand Prix,4.575,67
Mexico City Grand Prix,4.304,71
Portuguese Grand Prix,4.684,66
Qatar Grand Prix,5.38,57
Sakhir Grand Prix,3.543,87
Styrian Grand Prix,4.574,71
São Paulo Grand Prix,5.565,71
Turkish Grand Prix,4.618,58
Tuscan Grand Prix,5.245,59